Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2014-10-16,44.56,47.6,44.56,47.37,3890909.0,0.0,1.0,43.303199645469,46.257457430977,43.303199645469,46.033944506415,3890909.0
2014-10-17,47.6,47.62,46.81,47.19,1911341.0,0.0,1.0,46.257457430977,46.27689333746,45.489739124874,45.859021348063,1911341.0
2014-10-20,46.95,47.08,46.2,46.39,1628146.0,0.0,1.0,45.625790470259,45.752123862403,44.896943977124,45.081585088718,1628146.0
2014-10-21,46.68,47.73,46.68,47.51,1751737.0,0.0,1.0,45.363405732731,46.38379082312,45.363405732731,46.1699958518,1751737.0
2014-10-22,47.33,47.65,46.83,46.88,1189009.0,0.0,1.0,45.995072693448,46.306047197186,45.509175031358,45.557764797567,1189009.0
2014-10-23,47.32,47.37,46.51,47.08,1621380.0,0.0,1.0,45.985354740206,46.033944506415,45.19820052762,45.752123862403,1621380.0
2014-10-24,47.26,47.64,47.13,47.58,621276.0,0.0,1.0,45.927047020755,46.296329243944,45.800713628612,46.238021524493,621276.0
2014-10-27,47.5,47.89,47.13,47.84,562200.0,0.0,1.0,46.160277898558,46.539278074989,45.800713628612,46.49068830878,562200.0
2014-10-28,47.69,48.53,47.53,48.46,672811.0,0.14,1.0,46.4788085822,47.297474952698,46.322872130677,47.229252755157,672811.0
2014-10-29,48.38,49.0,48.16,48.85,856578.0,0.0,1.0,47.151284529395,47.755538279048,46.93687190855,47.609347855745,856578.0
2014-10-30,48.56,49.36,48.49,49.14,568316.0,0.0,1.0,47.326713037359,48.106395294976,47.258490839817,47.891982674131,568316.0
2014-10-31,49.6,50.96,49.59,50.93,1602500.0,0.0,1.0,48.340299972261,49.66575981021,48.330553944041,49.63652172555,1602500.0
2014-11-03,50.87,50.99,50.34,50.59,886745.0,0.0,1.0,49.578045556228,49.694997894871,49.061506060557,49.305156766062,886745.0
2014-11-04,50.51,50.735,50.24,50.69,533723.0,0.0,1.0,49.227188540301,49.446474175255,48.964045778355,49.402617048264,533723.0
2014-11-05,50.87,51.24,50.63,51.11,599294.0,0.0,1.0,49.578045556228,49.938648600376,49.344140878943,49.811950233513,599294.0
2014-11-06,51.01,51.81,50.93,51.78,995914.0,0.0,1.0,49.714489951311,50.494172208928,49.63652172555,50.464934124268,995914.0
2014-11-07,51.78,52.08,51.32,51.55,911794.0,0.0,1.0,50.464934124268,50.757314970874,50.016616826138,50.240775475203,911794.0
2014-11-10,51.47,51.84,51.38,51.6,321798.0,0.0,1.0,50.162807249441,50.523410293589,50.075092995459,50.289505616304,321798.0
2014-11-11,51.44,51.69,51.36,51.65,642348.0,0.0,1.0,50.13356916478,50.377219870286,50.055600939019,50.338235757405,642348.0
2014-11-12,51.37,52.22,51.34,52.14,694629.0,0.0,1.0,50.065346967239,50.893759365957,50.036108882578,50.815791140195,694629.0
2014-11-13,52.12,52.12,51.455,51.64,695255.0,0.0,1.0,50.796299083755,50.796299083755,50.148188207111,50.328489729185,695255.0
2014-11-14,51.62,52.0399,51.33,51.51,662605.0,0.0,1.0,50.308997672744,50.718233397711,50.026362854358,50.201791362322,662605.0
2014-11-17,51.4,51.61,51.11,51.5,418459.0,0.0,1.0,50.0945850519,50.299251644524,49.811950233513,50.192045334102,418459.0
2014-11-18,51.59,51.795,51.31,51.44,406618.0,0.0,1.0,50.279759588084,50.479553166598,50.006870797918,50.13356916478,406618.0
